seedPartyId,targetPartyId,partyId,score,rank,gapToTop2,momentum,credibility,rejection,cohesion,hasAlliance,bestNaturalAllyId,bestNaturalAllyScore,viability,directCompetitorsInRace,combinedWithBestCompetitorReachesTop2,spoilerPressure
lr,lfi,lfi,11.37,5,-2.72,57,47,59,58,false,ps,11.73,28.66,2,true,1.79
lr,ps,ps,11.73,3,-2.36,54,64,70,53,false,lfi,11.37,32.14,2,true,1.96
lr,ecologistes,ecologistes,9.02,8,-5.07,46,46,37,55,false,ps,11.73,20.86,2,true,1.65
lr,renaissance,renaissance,11.53,4,-2.56,42,72,61,49,false,horizons,16.08,31.18,3,true,2.65
lr,horizons,horizons,16.08,1,1.99,46,71,46,62,false,renaissance,11.53,44.43,3,false,2.04
lr,lr,lr,11.06,7,-3.03,48,68,60,42,false,horizons,16.08,27.05,3,true,2.43
lr,rn,rn,14.09,2,0,67,57,85,76,false,reconquete,3.83,37.89,3,false,1.93
lr,reconquete,reconquete,3.83,9,-10.26,41,39,72,47,false,rn,14.09,7.24,2,true,0.83
lr,nouvelle_energie,nouvelle_energie,11.29,6,-2.8,47,59,28,72,false,horizons,16.08,29.79,2,true,1.67
rn,lfi,lfi,11.19,5,-3.73,57,47,59,58,false,ps,12.55,27.96,2,true,1.66
rn,ps,ps,12.55,3,-2.37,54,67,70,49,false,lfi,11.19,33.51,2,true,1.82
rn,ecologistes,ecologistes,8.93,8,-5.99,46,46,37,55,false,ps,12.55,20.31,2,true,1.61
rn,renaissance,renaissance,11.2,4,-3.72,42,72,61,49,false,horizons,15.68,30.02,3,true,2.58
rn,horizons,horizons,15.68,1,0.76,46,71,46,62,false,renaissance,11.2,43.13,3,false,2.06
rn,lr,lr,10.67,7,-4.25,48,68,60,42,false,horizons,15.68,25.78,3,true,2.35
rn,rn,rn,14.92,2,0,67,58,85,74,false,reconquete,3.78,39.13,3,false,1.73
rn,reconquete,reconquete,3.78,9,-11.14,41,39,72,47,false,rn,14.92,6.78,2,false,0.8
rn,nouvelle_energie,nouvelle_energie,11.08,6,-3.84,47,59,28,72,false,horizons,15.68,28.84,2,true,1.67
reconquete,lfi,lfi,11.37,5,-2.74,57,47,59,58,false,ps,11.75,28.65,2,true,1.79
reconquete,ps,ps,11.75,3,-2.36,54,64,70,53,false,lfi,11.37,32.15,2,true,1.96
reconquete,ecologistes,ecologistes,9.03,8,-5.08,46,46,37,55,false,ps,11.75,20.86,2,true,1.65
reconquete,renaissance,renaissance,11.54,4,-2.57,42,72,61,49,false,horizons,16.18,31.21,3,true,2.62
reconquete,horizons,horizons,16.18,1,2.06,46,71,46,62,false,renaissance,11.54,44.61,3,false,2
reconquete,lr,lr,10.74,7,-3.37,48,68,60,42,false,horizons,16.18,26.47,3,true,2.36
reconquete,rn,rn,14.11,2,0,67,57,85,76,false,reconquete,4,37.92,3,false,1.92
reconquete,reconquete,reconquete,4,9,-10.11,41,39,72,47,false,rn,14.11,7.55,2,true,0.88
reconquete,nouvelle_energie,nouvelle_energie,11.29,6,-2.83,47,59,28,72,false,horizons,16.18,29.78,2,true,1.64
nouvelle_energie,lfi,lfi,11.14,6,-3.57,57,47,59,58,false,ps,12.4,26.76,2,true,1.68
nouvelle_energie,ps,ps,12.4,3,-2.3,54,67,70,49,false,lfi,11.14,33.34,2,true,1.86
nouvelle_energie,ecologistes,ecologistes,8.9,8,-5.8,46,46,37,55,false,ps,12.4,20.36,2,true,1.59
nouvelle_energie,renaissance,renaissance,11.51,4,-3.2,42,72,61,49,false,horizons,15.9,30.75,3,true,2.57
nouvelle_energie,horizons,horizons,15.9,1,1.2,46,71,46,62,false,renaissance,11.51,43.71,3,false,2.04
nouvelle_energie,lr,lr,10.41,7,-4.29,48,68,60,42,false,horizons,15.9,25.46,3,true,2.27
nouvelle_energie,rn,rn,14.7,2,0,67,58,85,74,false,reconquete,3.72,38.82,3,false,1.74
nouvelle_energie,reconquete,reconquete,3.72,9,-10.98,41,39,72,47,false,rn,14.7,6.77,2,false,0.82
nouvelle_energie,nouvelle_energie,nouvelle_energie,11.33,5,-3.37,47,59,28,72,false,horizons,15.9,30.67,2,true,1.63
