eventId,title,category,rarity,occurrences,meanIntensity,meanAbsPollDelta,choiceEntropyNormalized,dominantChoiceShare,isChain,isRare,compositeScore,grade
rare_crown_petition,Une pétition monarchiste atteint le million,rare,legendary,23,4.65,1.17,0.941,0.435,false,true,61,A
party_reconquete_program_dilemma,La souveraineté économique cherche ses instruments,party,common,68,5,1.55,0.99,0.559,false,false,61,A
media_prime_time_invite,Le fauteuil libéré au vingt heures,media,common,459,5,1.18,0.993,0.364,false,false,59.6,A
media_live_stream,Le direct des questions citoyennes,media,common,496,2.72,1.3,0.973,0.597,false,false,59.2,A
runoff_favorite_pressure,Deux points davance à cinq jours,between_rounds,common,588,3,1.17,0.984,0.42,false,false,59.2,A
program_school_values,Ce que l’école doit transmettre,program,common,386,3,1.15,0.983,0.386,false,false,59.1,A
party_nouvelle_energie_signature,Le permis d’entreprendre doit être défini,party,common,85,5,1.34,0.964,0.612,false,false,59,A
campaign_final_rally,Le dernier grand meeting,campaign,common,129,6,0.97,0.998,0.364,false,false,58.9,A
party_rn_program_dilemma,La préférence nationale rencontre le droit,party,common,77,6,1.31,0.965,0.61,false,false,58.9,A
scandal_false_resume,Une ligne du CV est fausse,scandal,common,275,3.42,1.07,0.985,0.422,false,false,58.8,A
runoff_endorsement_wave,Les soutiens arrivent avec leurs conditions,between_rounds,common,700,5,1.18,0.975,0.4,false,false,58.8,A
campaign_poster_shortage,Les affiches manquent dans six villes,campaign,common,314,2.39,1.27,0.966,0.608,false,false,58.7,A
debate_all_candidates,Neuf candidats face au climat,debate,common,358,6,1.1,0.981,0.349,false,false,58.7,A
campaign_bus_breakdown,Le car tombe en panne,campaign,common,318,2.73,1.03,0.987,0.403,false,false,58.7,A
party_ecologistes_program_dilemma,La taxe carbone divise les alliés,party,common,74,5,1.03,0.987,0.568,false,false,58.7,A
party_renaissance_electorate,Les classes moyennes demandent un gain net,party,common,81,5,1.52,0.941,0.642,false,false,58.7,A
world_rival_leadership_split,La dissidence prend forme chez Reconquête,world,common,44,5,0.93,0.994,0.545,false,false,58.6,A
campaign_rally_security,Le meeting change de dispositif,campaign,common,393,5,1.2,0.965,0.461,false,false,58.4,A
runoff_final_debate,Le débat de lentre-deux-tours,between_rounds,common,871,6,0.98,0.985,0.325,false,false,58.4,A
runoff_common_program,La coalition réclame une annexe,between_rounds,common,663,5,1.03,0.981,0.403,false,false,58.4,A
party_nouvelle_energie_identity,Nouvelle Énergie doit prouver son utilité,party,common,98,5,0.87,0.995,0.378,false,false,58.4,A
scandal_family_hire,La directrice a recruté son frère,scandal,common,374,5,1.37,0.946,0.439,false,false,58.3,A
party_renaissance_local_asset,Les parlementaires proposent cent permanences,party,common,80,4,1.11,0.971,0.6,false,false,58.3,A
party_ps_program_dilemma,Le bilan gouvernemental divise la convention,party,common,79,5,1.23,0.958,0.62,false,false,58.2,A
party_nouvelle_energie_alliance,Horizons propose une plateforme de gestion,party,common,100,5,0.86,0.991,0.38,false,false,58.2,A
program_digital_rights,Vie privée et réseaux : la ligne numérique,program,common,361,2.81,1.12,0.965,0.432,false,false,58.1,A
program_integration_contract,"Le contrat d’intégration, jusqu’où aller",program,common,358,3,1.3,0.949,0.494,false,false,58.1,A
world_european_vote,Le Conseil européen se divise,world,common,87,2.94,1.14,0.963,0.448,false,false,58.1,A
scandal_local_expenses,Des notes de frais se mélangent,scandal,common,282,4,0.93,0.982,0.418,false,false,58.1,A
media_silence_day,Vingt-quatre heures sans caméra,media,common,480,2.02,1.05,0.97,0.602,false,false,58,A
alliance_parliamentary_group,Douze députés offrent leur expérience,alliance,common,393,3.35,0.81,0.993,0.379,false,false,58,A
internal_nomination_rules,Les règles de la liste commune,internal,common,98,3,1.2,0.955,0.429,false,false,58,A
party_horizons_technocrat_backlash,Le sketch du « comité Excel »,party,common,52,5,0.8,0.991,0.365,false,false,58,A
party_nouvelle_energie_local_asset,Des entrepreneurs prêtent leurs réseaux,party,common,81,4,1.47,0.93,0.654,false,false,58,A
runoff_last_hours,Les dernières heures autorisées,between_rounds,common,804,6,0.9,0.982,0.413,false,false,57.9,A
party_horizons_local_asset,Les maires offrent une semaine de terrain,party,common,97,4,0.91,0.978,0.588,false,false,57.8,A
alliance_fictional_celebrity,Une chanteuse veut soutenir la campagne,alliance,common,470,3.66,1.11,0.957,0.449,false,false,57.7,A
party_lfi_program_dilemma,La désobéissance européenne doit être définie,party,common,63,5,0.96,0.971,0.444,false,false,57.7,A
scandal_consultant_contract,Le contrat du conseiller est publié,scandal,common,184,5,0.92,0.975,0.446,false,false,57.7,A
internal_congress_motion,Une motion réclame un congrès,internal,common,335,5,0.92,0.972,0.433,false,false,57.6,A
world_floods,La Garonne sort de son lit,world,common,402,6,0.71,0.992,0.388,false,false,57.6,A
program_europe,La règle européenne à changer,program,common,232,5,0.69,0.993,0.375,false,false,57.6,A
alliance_former_rival,Un ancien rival socialiste revient,alliance,common,48,5,0.61,0.999,0.354,false,false,57.5,A
media_short_video,Une minute sur les loyers,media,common,273,2.68,0.77,0.983,0.421,false,false,57.4,A
world_public_service_outage,La plateforme publique tombe en panne,world,common,528,3,0.86,0.973,0.436,false,false,57.4,A
campaign_budget_arbitration,Le budget impose trois renoncements,campaign,common,241,5,1.15,0.947,0.498,false,false,57.4,A
rare_printer_slogan,Une apostrophe change le slogan,rare,rare,90,4.91,0.37,0.839,0.522,false,true,57.3,A
alliance_union_support,La CFDT veut des garanties écrites,alliance,common,61,3.51,1.13,0.945,0.492,false,false,57.3,A
campaign_factory_visit,L’atelier industriel de Saint-Nazaire,campaign,common,603,2.08,0.85,0.969,0.448,false,false,57.2,A
campaign_small_business,La PME teste votre réforme,campaign,common,161,2.02,0.6,0.993,0.373,false,false,57.2,A
debate_unknown_question,La question venue de Mayotte,debate,common,436,5,0.75,0.977,0.353,false,false,57.1,A
party_ps_electorate,Les agents publics attendent des garanties,party,common,91,5,1.02,0.953,0.626,false,false,57.1,A
party_rn_electorate,Les abstentionnistes demandent une preuve locale,party,common,93,5,0.76,0.976,0.591,false,false,57.1,A
program_taxation,Qui financera les priorités,program,common,303,5,0.71,0.979,0.343,false,false,57,A
world_industrial_closure,Une aciérie annonce sa fermeture,world,common,147,6,0.71,0.977,0.401,false,false,56.9,A
program_energy,Le mix électrique de 2040,program,common,264,5,0.73,0.975,0.394,false,false,56.9,A
internal_staff_fatigue,Le siège arrive à saturation,internal,common,222,3.67,0.84,0.963,0.45,false,false,56.9,A
party_lfi_electorate,Les abstentionnistes demandent une preuve,party,common,103,4,0.82,0.964,0.466,false,false,56.8,A
party_horizons_runoff,Le centre droit négocie son élargissement,party,common,139,6,0.46,0.997,0.532,false,false,56.8,A
debate_fact_card,La fiche rouge de la rédaction,debate,common,6,5,0.46,0.921,0.5,true,false,56.8,A
party_lr_local_asset,Les fédérations ouvrent leurs permanences,party,common,91,4,0.78,0.968,0.604,false,false,56.8,A
party_lr_alliance,Horizons propose un accord économique,party,common,111,5,0.83,0.964,0.468,false,false,56.8,A
program_health,Le prochain budget de la santé,program,common,475,5,0.92,0.952,0.488,false,false,56.7,A
internal_spokesperson_mistake,La porte-parole annonce trop tôt,internal,common,247,3.75,0.86,0.959,0.478,false,false,56.7,A
program_border_control,Contrôles aux frontières : quels moyens,program,common,293,2.71,1.02,0.944,0.464,false,false,56.7,A
party_horizons_alliance,Les Républicains proposent un pacte local,party,common,115,5,0.75,0.968,0.426,false,false,56.7,A
party_horizons_electorate,Les retraités modérés parlent des soins,party,common,89,5,1.81,0.871,0.708,false,false,56.7,A
campaign_attacked_by_rival_pole,Une attaque frontale de La France insoumise,campaign,common,282,2.66,0.8,0.962,0.443,false,false,56.6,A
party_nouvelle_energie_electorate,Les électeurs ignorent encore le mouvement,party,common,74,5,0.39,0.999,0.514,false,false,56.6,A
internal_rival_interview,Un rival corrige votre ligne,internal,common,309,5,0.82,0.958,0.469,false,false,56.5,A
campaign_rural_desert,Trois villages sans médecin,campaign,common,186,5,0.91,0.949,0.468,false,false,56.5,A
party_reconquete_local_asset,Les comités numériques cherchent du terrain,party,common,81,4,0.68,0.968,0.605,false,false,56.4,A
campaign_regional_rally,Le meeting quitte la capitale,campaign,common,205,2.28,1.3,0.909,0.502,false,false,56.3,A
party_ps_identity,Le PS doit nommer son projet,party,common,87,5,0.53,0.979,0.437,false,false,56.3,A
world_energy_price_spike,Le gaz double en une semaine,world,common,264,6,0.57,0.973,0.447,false,false,56.1,A
party_reconquete_signature,Le référendum migratoire doit être cadré,party,common,95,6,1.62,0.875,0.705,false,false,56.1,A
party_lfi_local_asset,Saint-Denis ouvre ses réseaux associatifs,party,common,77,4,0.83,0.946,0.636,false,false,56,A
rare_parrot_quote,Un perroquet répète votre slogan,rare,legendary,17,4.65,0.39,0.936,0.471,false,true,56,A
campaign_door_to_door,Cent quartiers en porte-à-porte,campaign,common,74,2.03,0.87,0.938,0.459,false,false,55.9,A
world_national_strike,La grève bloque les transports,world,common,148,6,1.09,0.918,0.5,false,false,55.9,A
party_ecologistes_identity,Les Écologistes arbitrent leur méthode,party,common,57,5,0.84,0.943,0.421,false,false,55.9,A
campaign_slogan_test,Le slogan divise le siège,campaign,common,663,2.01,1.24,0.904,0.495,false,false,55.8,A
world_economic_slowdown,La croissance simulée se retourne,world,common,314,5,0.7,0.95,0.487,false,false,55.7,A
world_housing_protest,Les tentes encerclent la préfecture,world,common,96,3,0.45,0.973,0.438,false,false,55.7,A
party_ecologistes_signature,La rénovation thermique doit changer d’échelle,party,common,95,5,0.9,0.932,0.653,false,false,55.7,A
party_horizons_program_dilemma,La règle de dépense rencontre les communes,party,common,42,5,1.33,0.893,0.69,false,false,55.7,A
party_rn_alliance,Reconquête propose un pacte de non-agression,party,common,93,5,0.86,0.936,0.484,false,false,55.7,A
party_reconquete_rare,Un réseau de cadres propose une fusion,party,rare,9,6,0.2,0.991,0.556,false,true,55.7,A
party_renaissance_program_dilemma,La réforme des retraites revient,party,common,79,6,1.22,0.9,0.684,false,false,55.6,A
party_rn_local_asset,Les petites villes ouvrent la campagne,party,common,70,4,0.15,1,0.5,false,false,55.6,A
party_nouvelle_energie_runoff,L’outsider doit former une majorité,party,common,137,6,0.22,0.993,0.547,false,false,55.6,A
alliance_left_roundtable,Le PS propose trois engagements communs,alliance,common,71,5,0.98,0.919,0.507,false,false,55.5,A
world_heatwave,Quarante-quatre degrés à Lyon,world,common,121,5,0.6,0.955,0.471,false,false,55.5,A
campaign_calendar_conflict,Deux invitations au même horaire,campaign,common,354,2.25,0.78,0.939,0.511,false,false,55.5,A
program_end_of_life,La question de la fin de vie,program,common,378,5,1.07,0.91,0.45,false,false,55.4,A
campaign_hospital_night,Une nuit avec les urgences,campaign,common,251,5,0.76,0.939,0.43,false,false,55.4,A
party_nouvelle_energie_rare,Un financement participatif dépasse les attentes,party,rare,9,6,0.13,0.991,0.556,false,true,55.4,A
internal_primary_debt,La promesse faite après la primaire,internal,common,169,3,1.22,0.895,0.509,false,false,55.3,A
party_lfi_identity,LFI choisit entre mouvement et candidat,party,common,113,5,0.58,0.951,0.407,false,false,55.2,A
debate_post_show_spin,Les soutiens envahissent le plateau,debate,common,328,5,0.96,0.916,0.421,false,false,55.2,A
campaign_weather_disaster,La pluie emporte la tournée,campaign,common,277,2.25,1,0.913,0.545,false,false,55.2,A
party_renaissance_identity,Renaissance choisit continuité ou rupture,party,common,70,5,0.97,0.914,0.443,false,false,55.2,A
campaign_overseas_trip,Le déplacement en Guadeloupe engage,campaign,common,174,5,0.97,0.911,0.523,false,false,55,A
government_ministry_conflict,Deux alliés réclament Bercy,government,common,348,5,0.11,0.989,0.376,false,false,55,B
eliminated_future_campaign,Le score ouvre une autre campagne,between_rounds,common,184,2.35,0.13,0.989,0.408,false,false,55,A
party_renaissance_alliance,Horizons propose une candidature commune,party,common,101,6,0.8,0.927,0.485,false,false,55,A
party_horizons_signature,La décentralisation doit devenir concrète,party,common,54,5,0.89,0.918,0.667,false,false,55,A
program_family_reunification,Le regroupement familial en question,program,common,360,5,1.43,0.866,0.475,false,false,54.9,B
campaign_volunteer_surge,Le siège déborde de bénévoles,campaign,common,665,2.46,1.18,0.888,0.537,false,false,54.9,B
debate_duel_interruption,L’adversaire refuse de vous laisser répondre,debate,common,346,5,0.81,0.924,0.329,false,false,54.9,B
government_balance,Quinze ministres pour une coalition,government,common,448,5,0.11,0.985,0.377,false,false,54.8,B
runoff_vote_transfers,Les reports refusent la mécanique,between_rounds,common,770,5,0.7,0.931,0.46,false,false,54.8,B
media_long_podcast,Deux heures sans élément de langage,media,common,240,2.17,0.66,0.934,0.475,false,false,54.8,B
party_lfi_alliance,Les Écologistes proposent un pacte urbain,party,common,66,5,0.87,0.913,0.545,false,false,54.7,B
scandal_campaign_data,Un fichier militant sort du siège,scandal,common,220,6,1.15,0.886,0.509,false,false,54.7,B
program_school,La promesse faite à l’école,program,common,359,2.93,0.91,0.908,0.462,false,false,54.7,B
party_ecologistes_local_asset,Des élus ruraux proposent une tournée,party,common,68,4,0.92,0.908,0.676,false,false,54.7,B
world_international_crisis,Une crise ferme un détroit,world,common,326,5,0.84,0.914,0.509,false,false,54.6,B
eliminated_no_instruction,Aucun finaliste ne porte votre ligne,between_rounds,common,108,2.74,0.1,0.982,0.426,false,false,54.6,B
program_wages,Le salaire net au centre,program,common,247,2.63,0.77,0.92,0.445,false,false,54.6,B
party_reconquete_identity,Reconquête choisit influence ou qualification,party,common,90,5,1.15,0.886,0.578,false,false,54.6,B
internal_recruitment,Cinq cents bénévoles sans mission,internal,common,337,3.74,1.01,0.895,0.558,false,false,54.5,B
program_institutions,La présidence que vous proposez,program,common,363,5,0.9,0.904,0.457,false,false,54.5,B
internal_major_donor,Un donateur demande un rendez-vous,internal,common,254,3,0.82,0.913,0.484,false,false,54.5,B
party_rn_dissidence,Un courant identitaire prépare sa candidature,party,rare,9,6,2.24,0.503,0.889,true,true,54.2,B
media_local_press,Six rédactions face au désert médical,media,common,457,2.89,0.9,0.895,0.49,false,false,54,B
campaign_donation_drive,La collecte se bloque,campaign,common,431,2.14,0.88,0.894,0.506,false,false,53.9,B
party_rn_runoff,Le RN doit élargir sans démobiliser,party,common,173,6,0.38,0.941,0.642,false,false,53.9,B
media_unflattering_photo,La photographie du quai vide,media,common,536,2.54,0.59,0.919,0.534,false,false,53.8,B
alliance_poach_rival_cadre,Un cadre écologiste tenté par un ralliement,alliance,common,243,3.25,0.6,0.917,0.539,false,false,53.8,B
party_reconquete_alliance,Le RN offre des désistements limités,party,common,98,5,0.76,0.903,0.5,false,false,53.8,B
party_nouvelle_energie_program_dilemma,La baisse de dépense rencontre l’hôpital,party,common,80,5,1.34,0.849,0.725,false,false,53.8,B
debate_expose_contradiction_centrist,Une contradiction chez le camp centriste,debate,common,323,3.23,0.6,0.913,0.471,false,false,53.6,B
party_lr_electorate,Les retraités interrogent le financement,party,common,94,5,1.13,0.865,0.713,false,false,53.6,B
scandal_plagiarized_report,Le rapport reprend huit paragraphes,scandal,common,310,3.31,0.88,0.886,0.545,false,false,53.5,B
party_lr_identity,LR fixe ses deux frontières,party,common,62,5,0.4,0.929,0.452,false,false,53.5,B
party_renaissance_defend_center,Horizons et Nouvelle Énergie visent le même électorat,party,common,30,5,0.65,0.96,0.4,false,false,53.4,B
party_lr_runoff,La droite qualifiée cherche ses reports,party,common,88,6,0.39,0.926,0.659,false,false,53.3,B
alliance_right_convention,Le RN invite à une convention commune,alliance,common,120,5,0.77,0.892,0.475,false,false,53.3,B
program_immigration,La loi migratoire du programme,program,common,354,5,0.83,0.884,0.46,false,false,53.2,B
party_rn_signature,La baisse de TVA doit être ciblée,party,common,81,5,1.46,0.826,0.741,false,false,53.2,B
campaign_endorsements_missing,Les parrainages restent sous le seuil,campaign,common,244,5,1.31,0.835,0.602,false,false,53.1,B
campaign_farmers_roundtable,La table ronde agricole se tend,campaign,common,275,5,0.7,0.893,0.553,false,false,53.1,B
rare_powers_abolition_tested,Un cas concret teste la suppression promise,rare,uncommon,10,5,1.44,0.722,0.8,true,false,53,B
party_ps_alliance,Les Écologistes proposent un contrat municipal,party,common,95,5,0.6,0.896,0.505,false,false,52.8,B
media_fictional_editorial_support,Un soutien éditorial encombrant,media,common,430,2.39,0.64,0.891,0.486,false,false,52.7,B
party_ecologistes_alliance,Le PS offre des circonscriptions urbaines,party,common,122,5,0.8,0.876,0.557,false,false,52.7,B
world_budget_warning,La Cour des comptes alerte,world,common,148,5,0.73,0.881,0.527,false,false,52.7,B
party_horizons_center_poaching,Une figure du bloc central hésite entre deux maisons,party,common,30,5,0.14,0.991,0.4,false,false,52.7,B
party_lfi_signature,La Sixième République doit prendre forme,party,common,85,5,1.14,0.842,0.729,false,false,52.6,B
campaign_student_forum,Le forum étudiant refuse les slogans,campaign,common,145,2.58,0.68,0.884,0.579,false,false,52.6,B
alliance_mayors_appeal,Deux cents maires demandent un contrat,alliance,common,397,4,0.9,0.858,0.597,false,false,52.4,B
campaign_market_walkabout,Le marché sous pression,campaign,common,216,2,0.83,0.865,0.713,false,false,52.4,B
debate_security_round,Trois minutes sur la sécurité,debate,common,28,6,1.1,0.903,0.393,false,false,52.2,B
internal_program_committee,Le comité bloque le chapitre sécurité,internal,common,237,3.1,0.81,0.86,0.46,false,false,52.1,B
campaign_union_meeting,Le face-à-face avec les syndicats,campaign,common,78,5,0.77,0.859,0.551,false,false,51.9,B
scandal_supplier_overbilling,L’imprimeur a doublé une ligne,scandal,common,337,4,0.74,0.861,0.591,false,false,51.9,B
debate_free_conclusion,La minute qui vous appartient,debate,common,342,6,0.97,0.841,0.357,false,false,51.9,B
party_reconquete_electorate,Les entrepreneurs attendent une ligne économique,party,common,85,5,0.61,0.874,0.706,false,false,51.9,B
debate_challenge_frontrunner,Provoquer le favori en duel,debate,common,388,5,0.88,0.845,0.441,false,false,51.7,B
party_ps_local_asset,Les maires socialistes ouvrent leurs réseaux,party,common,69,4,0.38,0.887,0.696,false,false,51.5,B
party_ps_signature,La garantie jeunesse doit être financée,party,common,79,5,1.34,0.796,0.759,false,false,51.4,B
eliminated_personal_future,Votre mandat à la tête du parti,between_rounds,common,65,2.25,0.13,0.905,0.554,false,false,51.3,B
government_first_address,La première adresse de lÉlysée,government,common,451,6,0.14,0.904,0.514,false,false,51.3,B
internal_volunteer_conflict,Deux équipes se disputent le terrain,internal,common,260,4,0.53,0.858,0.469,false,false,50.8,B
world_rival_leadership_tension,Tensions internes chez Reconquête,world,common,236,2.63,0.9,0.81,0.627,false,false,50.2,B
party_lr_program_dilemma,Les économies menacent les services locaux,party,common,60,5,0.88,0.811,0.75,false,false,50.2,B
party_ecologistes_electorate,Les locataires redoutent les interdictions,party,common,86,5,1.15,0.782,0.767,false,false,50,B
program_pensions,La ligne de départ des retraites,program,common,262,5,0.73,0.81,0.485,false,false,49.5,B
alliance_center_pact,Renaissance offre un pacte de stabilité,alliance,common,58,5,0.3,0.845,0.586,false,false,49.3,B
program_secularism,La laïcité à l’épreuve du quotidien,program,common,355,5,0.73,0.804,0.645,false,false,49.2,B
scandal_donation_route,Un virement suit un trajet complexe,scandal,uncommon,210,5,0.82,0.796,0.61,false,false,49.2,B
party_ps_runoff,La gauche attend un contrat de second tour,party,common,141,6,0.12,0.859,0.546,false,false,49.2,B
party_ecologistes_runoff,Le second tour exige une coalition climatique,party,common,118,6,0.16,0.857,0.517,false,false,49.2,B
party_renaissance_signature,Le fonds industriel européen se précise,party,common,102,5,1.27,0.752,0.784,false,false,49.1,B
program_climate_adaptation,La France à cinquante degrés,program,common,474,5,1.1,0.764,0.57,false,false,49,B
eliminated_endorse_candidate,Votre voix reste décisive,between_rounds,common,145,5,0.07,0.857,0.579,false,false,48.9,B
party_lfi_runoff,LFI doit élargir sans se renier,party,common,140,6,0.44,0.823,0.529,false,false,48.8,B
program_labor_immigration,"L’immigration de travail, un choix économique assumé ou non",program,common,394,5,1.4,0.732,0.708,false,false,48.7,B
media_open_microphone,Le micro resté ouvert,media,common,346,5,0.83,0.783,0.532,false,false,48.7,B
party_horizons_passion_test,« Vous nous parlez de compétence. Parlez-nous d’envie. »,party,common,16,6,1.05,0.896,0.688,false,false,48.7,B
media_foreign_interview,La France vue depuis Bruxelles,media,common,64,2.92,0.97,0.768,0.531,false,false,48.6,B
party_renaissance_legacy_credited,L’aveu initial est mis à l’épreuve du concret,party,uncommon,7,5,1.83,0.592,0.857,true,false,48,B
party_reconquete_runoff,La qualification bouleverse la stratégie,party,common,51,6,0.14,0.819,0.745,false,false,47.4,B
media_front_page,La une vous prête un tournant,media,common,451,2.25,0.93,0.74,0.703,false,false,47.2,B
internal_headquarters_move,Le siège coûte trop cher,internal,common,284,3.7,0.73,0.749,0.697,false,false,46.8,B
government_prime_minister,Le choix de Matignon,government,common,383,6,0.1,0.795,0.658,false,false,46.2,B
campaign_defend_unfairly_attacked_rival,Une accusation jugée infondée vise un adversaire,campaign,common,330,2.97,0.77,0.732,0.53,false,false,46.1,B
party_horizons_founder_revenge,Le réseau de Paul Auriac s’organise,party,uncommon,27,6,1.08,0.503,0.889,true,false,45.9,B
party_renaissance_runoff,Le bloc républicain demande des preuves,party,common,123,6,0.2,0.774,0.772,false,false,45.7,B
internal_youth_wing,Les jeunes veulent leur propre campagne,internal,common,216,4,0.64,0.732,0.676,false,false,45.6,B
campaign_non_aggression_overture,Une proposition de pacte de non-agression,campaign,common,245,2.61,0.66,0.727,0.612,false,false,45.4,B
party_horizons_identity,Horizons doit sortir de l’attente,party,common,79,5,0.69,0.702,0.646,false,false,44.4,B
party_rn_identity,Le RN arbitre normalisation et mobilisation,party,common,56,5,0.39,0.694,0.554,false,false,42.9,B
campaign_peripheral_town,La périphérie demande un calendrier,campaign,common,158,2.75,0.89,0.645,0.741,false,false,42.8,B
internal_local_sections,Les sections refusent le kit national,internal,common,458,3.74,0.78,0.651,0.734,false,false,42.5,B
campaign_citizens_convention,La convention citoyenne réclame une réponse,campaign,common,149,5,0.44,0.636,0.685,false,false,40.4,B
party_horizons_founder_blessing,Paul Auriac loue une candidate loyale à la ligne,party,uncommon,14,4,0.93,0.371,0.929,true,false,36.1,F
debate_frontrunner_retaliation,La riposte du favori,debate,common,64,4,0.89,0.285,0.922,false,false,26.5,F
rare_blackout_leak_resurfaces,La coulisse du blackout ressort,rare,uncommon,6,5,0.59,0,1,true,false,16,D
world_security_attack,Une attaque frappe un lieu public,world,uncommon,1,6,0.83,0,1,false,false,3.7,F
