partyId,initialPolling,observerParty,seedSuffix
nouvelle_energie,11.874,rn,c
lfi,11.7,reconquete,c
ps,12.035,reconquete,c
ecologistes,9.475,reconquete,c
renaissance,12.818,reconquete,c
horizons,12.846,reconquete,c
lr,10.828,reconquete,c
rn,14.201,reconquete,c
reconquete,6,reconquete,c
nouvelle_energie,11.895,reconquete,c
lfi,11.684,nouvelle_energie,c
ps,12.018,nouvelle_energie,c
ecologistes,9.462,nouvelle_energie,c
renaissance,12.8,nouvelle_energie,c
horizons,12.829,nouvelle_energie,c
lr,10.813,nouvelle_energie,c
rn,14.183,nouvelle_energie,c
reconquete,4.017,nouvelle_energie,c
nouvelle_energie,9.7,nouvelle_energie,c
